epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.9496,1.38369,3.58507,0.96011,0.00904,0.2968,0.09507,0.06011,1.13563,3.94433,0.8438,0.000351817,0.000351817,0.000351817
2,21.68,1.19964,1.99439,0.90303,0.15881,0.33916,0.17221,0.11149,1.09749,3.56593,0.83611,0.000715001,0.000715001,0.000715001
3,32.4002,1.06738,1.41427,0.89724,0.14165,0.57479,0.35898,0.27406,1.03469,3.1203,0.85931,0.00107085,0.00107085,0.00107085
4,43.1232,1.01434,1.21031,0.89846,0.96571,0.16076,0.63835,0.42021,1.05379,2.41777,0.87918,0.001078,0.001078,0.001078
5,53.8347,0.98072,1.06018,0.88453,0.9242,0.30675,0.58261,0.41245,1.04917,2.13139,0.87093,0.001067,0.001067,0.001067
6,64.5676,0.95765,0.99869,0.87964,0.9043,0.52848,0.66843,0.46694,1.005,1.55656,0.87535,0.00105601,0.00105601,0.00105601
7,75.2885,0.87579,0.9329,0.86773,0.8807,0.65221,0.69153,0.48556,0.99017,1.15267,0.86931,0.00104501,0.00104501,0.00104501
8,86.0599,0.9263,0.91944,0.88293,0.88014,0.65022,0.70103,0.47933,0.99499,0.98339,0.86332,0.00103401,0.00103401,0.00103401
9,96.7773,0.87875,0.89364,0.85912,0.80315,0.68333,0.70458,0.4818,0.96246,1.01943,0.85764,0.00102301,0.00102301,0.00102301
10,107.517,0.87931,0.86172,0.86012,0.88483,0.64602,0.70122,0.46805,1.03614,0.95049,0.8662,0.00101201,0.00101201,0.00101201
11,118.276,0.83726,0.83069,0.85545,0.89132,0.60899,0.68993,0.46072,1.09787,0.98479,0.90168,0.00100101,0.00100101,0.00100101
12,129.037,0.8166,0.7936,0.8522,0.8333,0.67384,0.68795,0.46664,1.04164,0.95086,0.88455,0.000990012,0.000990012,0.000990012
13,139.812,0.81584,0.73985,0.85186,0.89006,0.6474,0.70414,0.47773,0.94165,0.87025,0.8559,0.000979013,0.000979013,0.000979013
14,150.608,0.82203,0.73232,0.8459,0.91496,0.62127,0.72325,0.50385,0.90519,0.84625,0.86131,0.000968014,0.000968014,0.000968014
15,161.336,0.81215,0.72346,0.84929,0.85612,0.67018,0.70032,0.48671,0.91953,0.83068,0.85553,0.000957015,0.000957015,0.000957015
16,172.059,0.81024,0.71508,0.84222,0.89306,0.62245,0.7175,0.49398,0.95889,0.86218,0.86053,0.000946016,0.000946016,0.000946016
